id_venda,data,hora,loja,id_cliente,valor_efetivo,cancelada
527466,2019-01-29,11:13:14,Arpoador,167338,6,t
527470,2019-01-29,11:44:23,Barra,359328,6,t
527471,2019-01-29,11:55:29,Barra,359329,42,f
527476,2019-01-29,12:30:06,Arpoador,359333,47,f
527478,2019-01-29,12:33:14,Arpoador,359335,111,f
527482,2019-01-29,12:36:36,Arpoador,359337,103,f
527485,2019-01-29,12:41:19,Arpoador,359340,38,f
527492,2019-01-29,12:44:57,Barra,229042,38,f
527495,2019-01-29,12:46:59,Barra,68568,38,f
527504,2019-01-29,12:52:53,Arpoador,275985,42,f
527506,2019-01-29,12:53:51,Arpoador,93877,0.009999999999998,f
527512,2019-01-29,13:00:25,Barra,71276,38,f
527516,2019-01-29,13:03:20,Barra,232048,80,f
527519,2019-01-29,13:06:33,Barra,359358,42,f
527527,2019-01-29,13:22:46,Barra,92588,42,f
527528,2019-01-29,13:22:37,Arpoador,359365,187,f
527530,2019-01-29,13:24:34,Barra,359367,47,f
527531,2019-01-29,13:31:15,Barra,340418,77,f
527535,2019-01-29,13:41:02,Arpoador,359370,48,f
527537,2019-01-29,13:40:57,Barra,359372,42,f
527539,2019-01-29,13:42:02,Arpoador,359374,49,f
527541,2019-01-29,13:43:13,Arpoador,359376,49,f
527542,2019-01-29,13:43:13,Barra,143059,84,f
527543,2019-01-29,13:45:07,Arpoador,359377,61,f
527545,2019-01-29,13:52:45,Barra,29104,19.01,f
527546,2019-01-29,13:54:16,Barra,103947,0.009999999999998,f
527547,2019-01-29,13:56:37,Arpoador,284150,42,f
527548,2019-01-29,13:59:13,Arpoador,163684,186,f
527554,2019-01-29,14:08:12,Arpoador,359383,122,f
527557,2019-01-29,14:15:10,Barra,359384,12,f
527559,2019-01-29,14:22:12,Arpoador,359386,148,f
527598,2019-01-29,14:52:16,Arpoador,359413,210,f
527599,2019-01-29,14:56:16,Barra,188546,84,f
527600,2019-01-29,14:59:47,Barra,359414,206,f
527603,2019-01-29,15:04:54,Barra,170878,42,f
527605,2019-01-29,15:10:03,Arpoador,359416,60,f
527607,2019-01-29,15:11:57,Arpoador,359418,61,f
527611,2019-01-29,15:12:52,Arpoador,359420,61,f
527630,2019-01-29,15:22:39,Arpoador,359429,147,f
527631,2019-01-29,15:28:54,Arpoador,359430,84,f
527633,2019-01-29,15:31:34,Leblon,359432,146,f
527634,2019-01-29,15:36:16,Leblon,94687,70,f
527635,2019-01-29,15:36:39,Arpoador,130307,55,f
527636,2019-01-29,15:41:58,Arpoador,359433,85,f
527638,2019-01-29,15:45:28,Leblon,359435,110,f
527639,2019-01-29,15:45:21,Barra,273619,0.030000000000001,f
527640,2019-01-29,15:54:53,Arpoador,359436,97,f
527641,2019-01-29,15:53:51,Leblon,359437,246,f
527642,2019-01-29,15:57:38,Leblon,359438,82,f
527643,2019-01-29,16:00:26,Arpoador,359439,126,f
527646,2019-01-29,16:08:53,Arpoador,359441,50,f
527647,2019-01-29,16:12:38,Leblon,359442,7,f
527648,2019-01-29,16:19:49,Arpoador,329351,12,f
527650,2019-01-29,16:22:58,Leblon,359444,15,f
527684,2019-01-29,16:35:18,Arpoador,359476,70,f
527685,2019-01-29,16:37:33,Arpoador,359477,57,f
527692,2019-01-29,16:40:57,Arpoador,359482,54,f
527696,2019-01-29,16:55:43,Arpoador,359484,108,f
